,f1,f2,f3,v1,v2,v3,profits
0,0.07739560485559634,0.04388784397520523,0.08585979199113825,0.07728795577272927,0.05385698527871324,0.018761758620585933,769058.8276549428
1,0.0697368029059364,0.009417734788764953,0.0975622351636756,0.017483853395731032,0.030123229381555018,0.030301257057941445,62328.12360039395
2,0.0761139701990353,0.07860643052769539,0.012811363267554589,0.013667454608113406,0.08346606622114881,0.028262662786805018,-393670.4613412244
3,0.04503859378955671,0.037079802423258125,0.09267649888486018,0.0802246502594059,0.09734501820994512,0.03319614062056262,2290265.4051594534
4,0.06438651200806646,0.082276161327083,0.044341419882733116,0.09702309937985983,0.019120079903470578,0.06474533076906853,1446121.053113115
5,0.02272387217847769,0.055458478701583484,0.006381725610417533,0.09911801491528631,0.08083719145370236,0.02297007867526646,-138235.024927453
6,0.08276311719925822,0.06316643991220648,0.07580877400853739,0.025733265208110014,0.02624306066709562,0.09429926375799738,1790448.5365727937
7,0.03545259681298684,0.09706980243949033,0.08931211213221978,0.024541156962791844,0.05096153141001376,0.034988929506343414,4539114.561157548
8,0.07783834970737619,0.01946387078519676,0.04667210037270342,0.03612694002545167,0.04082178747957527,0.03450449442073561,-318653.7751169337
9,0.004380376578722878,0.015428949206754784,0.06830489532424547,0.05999275589038128,0.04254715930767416,0.0441011566003596,-397019.15793110954
10,0.07447621559078171,0.09675097324342101,0.0325825358138152,0.05059939788196482,0.035617852384345575,0.07545595824862468,460312.32738759805
11,0.03704597060348689,0.046955581127580796,0.018947135908428572,0.050348235463347296,0.05092111319558982,0.020984514323139872,296099.2200022508
12,0.012992150533547166,0.04757049262259338,0.022690934905088413,0.003083675731240754,0.0809275116085109,0.08554818472056638,-84162.55270355692
13,0.06698139946825103,0.04371519188723308,0.08326781960578375,0.02412467966546572,0.036003230149926645,0.035801791688284255,1376281.5065599738
14,0.07002651020022492,0.03123666413820411,0.08322598013952011,0.06842123352322807,0.01872359205532531,0.09787133823565267,414036.54564370867
15,0.08047643574968019,0.038747837903017446,0.028832810393024412,0.006186147522828967,0.09737674939855437,0.006878208792625984,-221038.89713063053
16,0.06824955039749755,0.013975248360930982,0.019990820247510834,0.031751402612123336,0.02506932504323004,0.025963428042176762,-340174.47212684643
17,0.0007362269751005513,0.07869243775021384,0.06648508565920322,0.09946694866268768,0.0458351751808963,0.011951056486319467,289554.8600350916
18,0.07051653786263351,0.07807290310219679,0.045891577553833995,0.0982279964965869,0.02426655733187675,0.0072547041892226495,754631.5378184858
19,0.056874119595289374,0.013979699812765745,0.011453007353597345,0.002418062955768441,0.04632307618239097,0.09183323681992661,-430117.55414852797
20,0.06684029617904717,0.04710962061431326,0.05652361064811889,0.0016960474267899706,0.07251764310290247,0.026042183175060053,1218318.064699333
21,0.07649988574160256,0.06347183200005908,0.05535794006579958,0.021906046551825067,0.0703789785369737,0.07478732645134702,1304946.583613546
22,0.055920716074541355,0.03039500980626122,0.0030817834567939406,0.055901525519817336,0.020225543500027723,0.0006308141300170877,-545001.6404094971
23,0.04367173892323624,0.02145846728195292,0.04085286437246362,0.07372777929785301,0.05996144943924173,0.042254623413783714,245995.88834238006
24,0.08534030732681662,0.023393948586534076,0.005830274168906602,0.021358195179302653,0.07619343944384238,0.007089526970814164,-410407.6711901806
25,0.028138389202199656,0.02935937577666836,0.0661916514726895,0.06427024052117768,0.06883984172295096,0.022325728988141447,1484491.7998607806
26,0.055703215234127836,0.07838982091064135,0.06643135403273875,0.04833249132679554,0.05201993693995044,0.059128192359057974,3884561.122221877
27,0.04063868614400706,0.08140203846660347,0.016697291990770392,0.09011879677118485,0.05464151000102786,0.006731845905410517,-72168.85934765538
28,0.002271207313386048,0.009004786077564176,0.07223593505964503,0.03449719051682661,0.06283268468539964,0.033314073742876225,-768833.6925657184
