,f1,f2,f3,v1,v2,v3,profits
0,0.03869780242779817,0.021943921987602616,0.04292989599556912,0.03359270943070337,0.04802934812533125,0.018545616077083462,425340.1036308669
1,0.0348684014529682,0.004708867394382477,0.0487811175818378,0.02125408837570656,0.04060614805935296,0.025288115737137063,-506247.52267527196
2,0.03805698509951765,0.039303215263847696,0.006405681633777294,0.036828654655786656,0.022985473222679603,0.010774757090635023,-498187.2096370112
3,0.022519296894778357,0.018539901211629062,0.04633824944243009,0.03726019213905054,0.006557758459235497,0.009929183176565404,160267.85341561912
4,0.03219325600403323,0.0411380806635415,0.022170709941366558,0.03134124913921043,0.03736349000960349,0.04473439434339075,346230.9578087065
5,0.011361936089238845,0.027729239350791742,0.0031908628052087665,0.013629324870794586,0.005536212930027718,0.047802332976131456,-1058797.9065845674
6,0.04138155859962911,0.03158321995610324,0.037904387004268694,0.007721154401107122,0.009883349112731976,0.014566472677923287,767466.6946226414
7,0.01772629840649342,0.048534901219745165,0.04465605606610989,0.026469567701314374,0.044141278301703904,0.03802730113649335,792225.3377008544
8,0.03891917485368809,0.00973193539259838,0.02333605018635171,0.03540787769213176,0.008759028392800183,0.01788413157629871,-509067.0356107154
9,0.002190188289361439,0.007714474603377392,0.034152447662122734,0.023920246304333898,0.007371297674279293,0.013671485106333627,-1355541.1389882476
10,0.03723810779539086,0.048375486621710505,0.0162912679069076,0.015416660197642214,0.006363809916451963,0.027511984595412882,67973.51191497874
11,0.018522985301743445,0.023477790563790398,0.009473567954214286,0.03525140982620965,0.0034965815738430607,0.02405615508815749,-687940.3603222049
12,0.006496075266773583,0.02378524631129669,0.011345467452544207,0.03911055976338976,0.03739950644762235,0.040753654810937706,-1064198.543234614
13,0.033490699734125516,0.02185759594361654,0.041633909802891875,0.022412031658530354,0.04102785413199304,0.012037653560713475,300488.50063917105
14,0.03501325510011246,0.015618332069102054,0.041612990069760054,0.018040528070875767,0.008817778820890066,0.023374226971428592,74604.25753950233
15,0.040238217874840096,0.019373918951508723,0.014416405196512206,0.019603001120772165,0.01204635582071561,0.03758903546153908,-411099.3719619346
16,0.03412477519874878,0.006987624180465491,0.009995410123755417,0.01569233860558233,0.013640216507291787,0.006544516542524754,-520666.39409772254
17,0.00036811348755027564,0.03934621887510692,0.03324254282960161,0.021941085090097436,0.015148231441865102,0.01846364206704843,-1265810.1159314704
18,0.035258268931316755,0.039036451551098396,0.022945788776916998,0.011799863131027634,0.03815777449099503,0.04650016736773587,515206.1403765542
19,0.028437059797644687,0.006989849906382873,0.005726503676798673,0.02489659263944438,0.03214992116704163,0.043358613830335305,-671564.8092701606
20,0.03342014808952359,0.02355481030715663,0.028261805324059443,0.04994148186668293,0.03067582423649161,0.04448897332699344,197198.99430363602
21,0.03824994287080128,0.03173591600002954,0.02767897003289979,0.0454304123277821,0.039572574390381116,0.023046569553655513,256122.35134906045
22,0.027960358037270677,0.01519750490313061,0.0015408917283969703,0.004057700021194966,0.0007902777720066923,0.02386003166414623,-747799.0898337385
23,0.02183586946161812,0.01072923364097646,0.02042643218623181,0.024715726676730887,0.020368119393148615,0.02840836756456823,-255756.07051270187
24,0.04267015366340831,0.011696974293267038,0.002915137084453301,0.027608135165221356,0.04183065205163465,0.0054328551631131206,-684330.1699101111
25,0.014069194601099828,0.01467968788833418,0.03309582573634475,0.011258883305277273,0.039650248947981526,0.042391843361182735,-730978.9809877984
26,0.027851607617063918,0.039194910455320676,0.03321567701636938,0.049741210681043396,0.04364560081935421,0.04449495035361656,393367.6134697103
27,0.02031934307200353,0.04070101923330174,0.008348645995385196,0.015717397131495243,0.02008308170046882,0.013404255241027552,-332439.5576581021
28,0.001135603656693024,0.004502393038782088,0.03611796752982251,0.03031496990963578,0.046940267710351924,0.017232044325580887,-1218907.8221548216
29,0.02309386151256937,0.00806358895168009,0.02505223875516818,0.02785008909407251,0.014814981522674254,0.008489998688635375,-439310.33003617823
30,0.007615605135658421,0.034816018753886804,0.022307813778701537,0.009759276490932785,0.0028972672269064973,0.047464676150462876,-773309.1854495477
31,0.019051061304824125,0.015075604457393827,0.031514129655944426,0.020143980425381482,0.04170604460010541,0.034066473634484555,-249572.6495862911
32,0.018090630527669523,0.00438249596580505,0.005900295106025766,0.00959605807055427,0.008773112328954391,0.04059941007552725,-744222.2003038815
33,0.04809488322747573,0.04542903453538036,0.03498535669053748,0.013235585530976868,0.04566425918509879,0.007002770234474532,893252.85561259
34,0.01329349807297598,0.0484588188673862,0.038937545198289736,0.03388543072272348,0.040723693801546695,0.01176281942078225,252781.28603552037
35,0.03584450945794978,0.022468075107189435,0.013612078092257951,0.013810368172828304,0.04822594430696009,0.013229880267307915,-214972.65074149746
36,0.004819548107674965,0.04513011982719209,0.022788814491680555,0.02149785249500239,0.021625779662118306,0.012651737496484178,-899580.2567314091
