,m1,m2,m3,profits
0,0.03869780242779817,0.021943921987602616,0.04292989599556912,326210.30735794816
1,0.0348684014529682,0.004708867394382477,0.0487811175818378,-398630.9243072219
2,0.03805698509951765,0.039303215263847696,0.006405681633777294,-392770.56987614796
3,0.022519296894778357,0.018539901211629062,0.04633824944243009,44508.73650663626
4,0.03219325600403323,0.0411380806635415,0.022170709941366558,256514.22796631826
5,0.011361936089238845,0.027729239350791742,0.0031908628052087665,-973587.1390757479
6,0.04138155859962911,0.03158321995610324,0.037904387004268694,526712.8445141795
7,0.01772629840649342,0.048534901219745165,0.04465605606610989,809515.1359722245
8,0.03891917485368809,0.00973193539259838,0.02333605018635171,-219438.2661571726
9,0.002190188289361439,0.007714474603377392,0.034152447662122734,-1261279.711870199
10,0.03723810779539086,0.048375486621710505,0.0162912679069076,-274942.1330658945
11,0.018522985301743445,0.023477790563790398,0.009473567954214286,-431574.9469490968
12,0.006496075266773583,0.02378524631129669,0.011345467452544207,-964641.5914681883
13,0.033490699734125516,0.02185759594361654,0.041633909802891875,288299.5851439782
14,0.03501325510011246,0.015618332069102054,0.041612990069760054,94045.62114429878
15,0.040238217874840096,0.019373918951508723,0.014416405196512206,-356580.85642186244
16,0.03412477519874878,0.006987624180465491,0.009995410123755417,-687688.0481591535
17,0.00036811348755027564,0.03934621887510692,0.03324254282960161,-1272112.0874973708
18,0.035258268931316755,0.039036451551098396,0.022945788776916998,189227.5254696876
19,0.028437059797644687,0.006989849906382873,0.005726503676798673,-720415.0189089768
20,0.03342014808952359,0.02355481030715663,0.028261805324059443,155368.24197545822
21,0.03824994287080128,0.03173591600002954,0.02767897003289979,364781.82648379693
22,0.027960358037270677,0.01519750490313061,0.0015408917283969703,-622210.6905742597
23,0.02183586946161812,0.01072923364097646,0.02042643218623181,-361781.41782350716
24,0.04267015366340831,0.011696974293267038,0.002915137084453301,-568931.2530180502
25,0.014069194601099828,0.01467968788833418,0.03309582573634475,-506784.4495331335
26,0.027851607617063918,0.039194910455320676,0.03321567701636938,449071.9803452557
27,0.02031934307200353,0.04070101923330174,0.008348645995385196,-594757.618952857
28,0.001135603656693024,0.004502393038782088,0.03611796752982251,-1208518.8814250934
29,0.02309386151256937,0.00806358895168009,0.02505223875516818,-501545.12439433235
30,0.007615605135658421,0.034816018753886804,0.022307813778701537,-683746.8266312524
31,0.019051061304824125,0.015075604457393827,0.031514129655944426,-188633.74627307407
32,0.018090630527669523,0.00438249596580505,0.005900295106025766,-492885.0482200712
33,0.04809488322747573,0.04542903453538036,0.03498535669053748,716165.4684947352
34,0.01329349807297598,0.0484588188673862,0.038937545198289736,376368.1828743244
35,0.03584450945794978,0.022468075107189435,0.013612078092257951,-403753.2671108249
36,0.004819548107674965,0.04513011982719209,0.022788814491680555,-780524.4509342691
37,0.010118168239761516,0.015297831207532626,0.0289609784470948,-652566.8336648892
38,0.008838639146961586,0.04283071420461878,0.03792597649176051,-235292.75054666988
39,0.03597314779754684,0.021604651988755188,0.03136544203512216,269893.4257860144
40,0.02920489844563678,0.032492330077741,0.004222216056994454,-777437.0615115658
41,0.020790370108530482,0.002080708693094624,0.024699540962225947,-750324.6559056832
42,0.016493060616639268,0.007226209443302345,0.0051701483861275824,-678113.0443392372
43,0.029382228608885605,0.008529648426844305,0.04625600591883986,-235398.77065643657
44,0.02905305698501975,0.017343490226741854,0.02954577457407084,13364.301943342467
45,0.001140193551484875,0.04792796066207227,0.02411517184714501,-1217864.5672077995
46,0.039136761362514316,0.004136499996121929,0.024332916541908018,-380070.02612745843
47,0.024535349717726047,0.046891322748749145,0.02858640261880377,492182.7695141794
48,0.02367447005284769,0.01334878315459468,0.01657844986712761,-359227.74513749994
49,0.026033620123576892,0.021945573015252337,0.0010806039940165213,-720090.6404008087
50,0.04131459620971789,0.04480803859198834,0.007012454449930539,-510747.23443366773
51,0.027701807176952472,0.005428787056772178,0.03361200465199059,-330540.34683407465
52,0.014061689191950416,0.03297113173459509,0.03634973071434413,-118727.00875334346
53,0.038432374595882855,0.005387047297794829,0.0458005922568804,-369089.4895100982
54,0.01151069954474404,0.001870627808808989,0.02774262346957417,-809537.5806362461
55,0.018546114193121938,0.04148948715662066,0.040412573603215096,518733.82942087797
56,0.015856944641135767,0.047644969753487254,0.014545891907005932,-371603.72722444334
57,0.02575285646158573,0.012798254528380138,0.046802178502448166,-23114.203154870673
58,0.008230390879100907,0.0022455309696164496,0.021754853000151897,-1049526.1864235306
59,0.049618778202791855,0.0445838633127457,0.037430400972847465,859394.3561249118
60,0.044539624543926244,0.04467233198489316,0.025942918019322456,426169.897769888
