,m1,m2,m3,profits
0,0.03869780242779817,0.021943921987602616,0.04292989599556912,-2018952.5672301443
1,0.0348684014529682,0.004708867394382477,0.0487811175818378,-1784384.0429966187
2,0.03805698509951765,0.039303215263847696,0.006405681633777294,-1663764.0710153899
3,0.022519296894778357,0.018539901211629062,0.04633824944243009,-2265716.8822869794
4,0.03219325600403323,0.0411380806635415,0.022170709941366558,-2039844.2297938892
5,0.011361936089238845,0.027729239350791742,0.0031908628052087665,-2094230.1974016328
6,0.04138155859962911,0.03158321995610324,0.037904387004268694,-1690012.0192982566
7,0.01772629840649342,0.048534901219745165,0.04465605606610989,-2071009.831362245
8,0.03891917485368809,0.00973193539259838,0.02333605018635171,-1965332.6284299595
9,0.002190188289361439,0.007714474603377392,0.034152447662122734,-2174035.919762591
10,0.03723810779539086,0.048375486621710505,0.0162912679069076,-2259025.315096903
11,0.018522985301743445,0.023477790563790398,0.009473567954214286,-1784041.455309266
12,0.006496075266773583,0.02378524631129669,0.011345467452544207,-2139670.088994912
13,0.033490699734125516,0.02185759594361654,0.041633909802891875,-1918248.9666559817
14,0.03501325510011246,0.015618332069102054,0.041612990069760054,-1777382.3490605494
15,0.040238217874840096,0.019373918951508723,0.014416405196512206,-2077629.4250099042
16,0.03412477519874878,0.006987624180465491,0.009995410123755417,-1790740.787692453
17,0.00036811348755027564,0.03934621887510692,0.03324254282960161,-2167490.5383997224
18,0.035258268931316755,0.039036451551098396,0.022945788776916998,-2015816.4794682192
19,0.028437059797644687,0.006989849906382873,0.005726503676798673,-2089189.1987390716
20,0.03342014808952359,0.02355481030715663,0.028261805324059443,-2073821.3800012874
21,0.03824994287080128,0.03173591600002954,0.02767897003289979,-1874440.8130036816
22,0.027960358037270677,0.01519750490313061,0.0015408917283969703,-2017366.995456841
23,0.02183586946161812,0.01072923364097646,0.02042643218623181,-2123920.4039414297
24,0.04267015366340831,0.011696974293267038,0.002915137084453301,-2113487.4589147945
25,0.014069194601099828,0.01467968788833418,0.03309582573634475,-2430305.5344823343
26,0.027851607617063918,0.039194910455320676,0.03321567701636938,-1914340.5252996709
27,0.02031934307200353,0.04070101923330174,0.008348645995385196,-1974835.1376679428
28,0.001135603656693024,0.004502393038782088,0.03611796752982251,-2123071.3538969387
29,0.02309386151256937,0.00806358895168009,0.02505223875516818,-1770744.902176336
30,0.007615605135658421,0.034816018753886804,0.022307813778701537,-2148705.140165888
31,0.019051061304824125,0.015075604457393827,0.031514129655944426,-2026975.6262885444
32,0.018090630527669523,0.00438249596580505,0.005900295106025766,-2062464.8469807645
33,0.04809488322747573,0.04542903453538036,0.03498535669053748,-1985480.811420239
34,0.01329349807297598,0.0484588188673862,0.038937545198289736,-2140588.1105721793
35,0.03584450945794978,0.022468075107189435,0.013612078092257951,-1998624.7078000775
36,0.004819548107674965,0.04513011982719209,0.022788814491680555,-2102201.691589884
37,0.010118168239761516,0.015297831207532626,0.0289609784470948,-2166919.961081796
38,0.008838639146961586,0.04283071420461878,0.03792597649176051,-2113356.5823462494
39,0.03597314779754684,0.021604651988755188,0.03136544203512216,-2201833.5045501995
40,0.02920489844563678,0.032492330077741,0.004222216056994454,-2083146.8333334818
41,0.020790370108530482,0.002080708693094624,0.024699540962225947,-2158435.544536868
42,0.016493060616639268,0.007226209443302345,0.0051701483861275824,-2185030.1542920447
43,0.029382228608885605,0.008529648426844305,0.04625600591883986,-1778496.230399506
44,0.02905305698501975,0.017343490226741854,0.02954577457407084,-2118434.9288611077
45,0.001140193551484875,0.04792796066207227,0.02411517184714501,-2321801.546010312
46,0.039136761362514316,0.004136499996121929,0.024332916541908018,-1945570.3185024129
47,0.024535349717726047,0.046891322748749145,0.02858640261880377,-2178260.2641371526
48,0.02367447005284769,0.01334878315459468,0.01657844986712761,-1670344.0401150666
49,0.026033620123576892,0.021945573015252337,0.0010806039940165213,-1885066.6029855227
50,0.04131459620971789,0.04480803859198834,0.007012454449930539,-1744684.339600463
51,0.027701807176952472,0.005428787056772178,0.03361200465199059,-1839651.018636463
52,0.014061689191950416,0.03297113173459509,0.03634973071434413,-2311179.6148321372
53,0.038432374595882855,0.005387047297794829,0.0458005922568804,-1917709.5881967603
