,m1,m2,m3,profits
0,0.15479120971119267,0.08777568795041046,0.1717195839822765,844143.885958866
1,0.1394736058118728,0.018835469577529906,0.1951244703273512,35780.135597316286
2,0.1522279403980706,0.15721286105539078,0.025622726535109178,-148998.60412421558
3,0.09007718757911343,0.07415960484651625,0.18535299776972036,3878239.5847283104
4,0.12877302401613291,0.164552322654166,0.08868283976546623,1638553.5646167204
5,0.04544774435695538,0.11091695740316697,0.012763451220835066,-168871.98862268755
6,0.16552623439851644,0.12633287982441296,0.15161754801707478,1852183.8896758736
7,0.07090519362597368,0.19413960487898066,0.17862422426443955,11543676.946714623
8,0.15567669941475237,0.03892774157039352,0.09334420074540684,-55947.508923242625
9,0.008760753157445756,0.03085789841350957,0.13660979064849094,34514.527581239585
10,0.14895243118156343,0.19350194648684202,0.0651650716276304,205996.03870924836
11,0.07409194120697378,0.09391116225516159,0.037894271816857145,462681.0692051374
12,0.02598430106709433,0.09514098524518676,0.04538186981017683,1778260.0740726527
13,0.13396279893650206,0.08743038377446616,0.1665356392115675,1755290.1530499563
14,0.14005302040044984,0.06247332827640822,0.16645196027904022,607462.8333909698
15,0.16095287149936038,0.07749567580603489,0.057665620786048824,-221607.96869177418
16,0.1364991007949951,0.027950496721861964,0.03998164049502167,-252943.7384707468
17,0.0014724539502011026,0.15738487550042768,0.13297017131840644,-221260.12947906952
18,0.14103307572526702,0.15614580620439358,0.09178315510766799,1060897.100258071
19,0.11374823919057875,0.02795939962553149,0.02290601470719469,-228347.95155883394
20,0.13368059235809435,0.09421924122862652,0.11304722129623777,762708.982986772
21,0.15299977148320512,0.12694366400011817,0.11071588013159916,841224.3119580144
22,0.11184143214908271,0.06079001961252244,0.006163566913587881,-335539.6974873129
23,0.08734347784647248,0.04291693456390584,0.08170572874492724,193455.11777347972
24,0.17068061465363324,0.04678789717306815,0.011660548337813204,-147302.8835820732
25,0.05627677840439931,0.05871875155333672,0.132383302945379,3889031.710209879
26,0.11140643046825567,0.1567796418212827,0.1328627080654775,12357953.054305501
27,0.08127737228801411,0.16280407693320695,0.033394583981540785,376209.1721027368
28,0.004542414626772096,0.018009572155128353,0.14447187011929005,-1030161.5380318832
29,0.09237544605027748,0.03225435580672036,0.10020895502067272,96748.21446613072
30,0.030462420542633685,0.13926407501554722,0.08923125511480615,3980647.21094384
31,0.0762042452192965,0.06030241782957531,0.1260565186237777,3006331.2951237643
32,0.07236252211067809,0.0175299838632202,0.023601180424103065,-329949.2564989658
33,0.19237953290990292,0.18171613814152143,0.1399414267621499,1389857.0138890601
34,0.05317399229190392,0.1938352754695448,0.15575018079315894,8567894.382585414
35,0.14337803783179912,0.08987230042875774,0.054448312369031804,-256750.93469716804
36,0.01927819243069986,0.18052047930876836,0.09115525796672222,2409444.190247491
37,0.040472672959046066,0.061191324830130504,0.1158439137883792,3539704.8438469204
38,0.03535455658784634,0.17132285681847512,0.15170390596704203,5653862.977860779
39,0.14389259119018735,0.08641860795502075,0.12546176814048865,589574.3175664695
40,0.11681959378254712,0.129969320310964,0.016888864227977817,-379785.8486242231
41,0.08316148043412193,0.008322834772378496,0.09879816384890379,-94888.08032826326
42,0.06597224246655707,0.02890483777320938,0.02068059354451033,-355252.65505753167
43,0.11752891443554242,0.03411859370737722,0.18502402367535944,303037.39544763154
44,0.116212227940079,0.06937396090696742,0.11818309829628336,959943.069970441
45,0.0045607742059395,0.19171184264828908,0.09646068738858005,129511.76013522048
46,0.15654704545005727,0.016545999984487716,0.09733166616763207,-120296.47701129608
47,0.09814139887090419,0.18756529099499658,0.11434561047521508,9856557.658180239
48,0.09469788021139076,0.05339513261837872,0.06631379946851045,164296.36326658062
49,0.10413448049430757,0.08778229206100935,0.004322415976066085,-464136.2376393086
50,0.16525838483887156,0.17923215436795337,0.028049817799722154,-108035.59716542884
51,0.11080722870780989,0.021715148227088713,0.13444801860796235,55054.251358072084
52,0.056246756767801664,0.13188452693838035,0.14539892285737652,8309831.494889154
53,0.15372949838353142,0.021548189191179314,0.1832023690275216,105925.76882532157
54,0.04604279817897616,0.007482511235235956,0.11097049387829667,-35312.8450331928
55,0.07418445677248775,0.16595794862648264,0.16165029441286038,11572428.082657171
56,0.06342777856454307,0.19057987901394902,0.05818356762802373,3253601.8739184616
57,0.10301142584634292,0.051193018113520554,0.18720871400979266,1001886.3742870316
58,0.03292156351640363,0.008982123878465798,0.08701941200060759,27877.70200128783
59,0.19847511281116742,0.1783354532509828,0.14972160389138986,1474112.9067903024
60,0.17815849817570498,0.17868932793957265,0.10377167207728982,517090.5252810273
61,0.0631858103661586,0.15440248642219762,0.13233225263355222,9294448.931544717
62,0.07473154577474202,0.018893333612303054,0.1493579222698052,241316.728424057
63,0.05249210318457294,0.18736263010675586,0.048194115001136954,2593344.106158153
64,0.024551586482297206,0.16622253442498125,0.03065686332489881,1120865.6419990961
65,0.035853661631547816,0.11987655830416871,0.1749124081674929,5378345.312588005
66,0.03928693314291465,0.06206473458001896,0.15548096764823552,3917653.3572399807
67,0.19436528521219348,0.10014823724046847,0.028779500510250158,-110677.67996796303
68,0.002787257541640309,0.04593120599977105,0.026364443557304208,-883836.6334205405
69,0.1355317347225715,0.024366500925706226,0.1012659863241266,-99522.31590055132
70,0.1388524871285773,0.11622332184418048,0.03995513033201153,-209566.4944236062
71,0.16082490523645254,0.14308142592316034,0.14779680078310836,4724916.422412903
72,0.02621155031146265,0.024750760730068922,0.18551251020130155,913443.2117498406
73,0.07951563876498813,0.060189738356187954,0.09771680907030666,2038043.2863875974
74,0.13257284255271648,0.191124651409394,0.057289245376411,296260.00712128717
75,0.18496168586240544,0.004971898277251263,0.11103960846536494,46645.90723711706
76,0.12679502233621703,0.02117948075015066,0.028067919412782527,-240845.11172395982
77,0.08382286386326077,0.19324638242863634,0.11920851064687457,10994330.585372074
78,0.18660464432004226,0.16087218312259416,0.0934763203110583,-1265.4894750144877
79,0.1569526898504375,0.003567356795397547,0.02182879935314699,-208848.5916520637
80,0.16588572297654727,0.15936341766503237,0.04652814839328674,-111826.26170412773
81,0.1061539181198107,0.12120316414000219,0.17354779075520224,10758170.107504878
82,0.12062143146774514,0.08251431385473607,0.07483680868143654,249329.46561771515
83,0.08517641727470199,0.13038620511599483,0.173498126350465,11986859.405789725
84,0.09077937641525996,0.04956791259027163,0.04733247259951623,23343.55203598726
85,0.1492028560486893,0.1633137526847821,0.021055615970824993,-176987.79584406206
86,0.013311771391035633,0.11888673275129036,0.029234648838539656,-220367.06533113966
87,0.16493283809126827,0.06206693478481489,0.02877438659422853,-174555.84551872997
88,0.18419409449749005,0.03310634454705563,0.056944016467587115,-113161.07903752435
89,0.030722679038411728,0.023098012733070994,0.004229603267288007,-670746.53045516
90,0.011079081832852023,0.03492829418717054,0.010676386525435079,-726124.7995077911
91,0.11822876322219425,0.13614290535990128,0.07872609136640565,1303549.7828161235
92,0.06359821939040988,0.10090524740444602,0.17500098844692172,8500742.741390154
93,0.1702263253644412,0.00869501240255839,0.03629968191930482,-108338.32456569365
94,0.047348974220879206,0.04987751516644237,0.11424653034855455,3193318.3978028516
95,0.08325248514063846,0.009850823985518798,0.07472282769191432,-67996.87061425742
96,0.10475058974352745,0.020334380580743196,0.16669171075771194,123675.95130026128
97,0.010392373293020852,0.18496837380361242,0.019822628315975102,-509057.556668389
98,0.16871499031955056,0.18053062878552342,0.19591413611731856,15163384.03316515
99,0.1604051760547187,0.15589550815426578,0.12849665519910955,2407385.3752783113
100,0.15579927091562581,0.02691044168262942,0.10721360718952747,-113031.42582376635
101,0.10284457403808289,0.1715144288245115,0.09255987311870317,5369666.125201724
102,0.0770178992200707,0.12791265424742201,0.053292663500169216,1498659.3922083275
103,0.027953682190791376,0.09557545480474916,0.08337787371897701,3105957.9125364516
104,0.04651398810577474,0.07350236202302561,0.07327848996524948,4380606.547408859
105,0.06549911288250909,0.0758928159453858,0.13714866909118908,5617665.632547442
106,0.05937529491425706,0.1897715853430681,0.18326960390763558,9711881.778512577
107,0.09618208566001572,0.06567224100093776,0.10708695796600064,1303272.0308524482
108,0.16971209775472493,0.13051746811202042,0.16087836558941548,2280978.454319339
109,0.10654445521314804,0.12658352585352414,0.05763112283649235,602186.9986967734
110,0.14697863246205817,0.04048091862514367,0.13895962576369966,171794.18985160952
111,0.17214381366517884,0.026420567460308787,0.12287594810838397,-47041.62691613456
112,0.019019149645986923,0.1451431256542854,0.016898643764704048,24248.326107603913
113,0.1871879645401252,0.027481586007560434,0.1917760491818161,39831.27157325968
114,0.16017683521701934,0.11873640089327082,0.15652482092590939,1926182.918087084
115,0.15902296779661718,0.18920541256346607,0.05067667076783744,-31714.839530221085
116,0.11801517907166184,0.019009839512880246,0.12323314000482427,7886.614973530504
117,0.03425826081855776,0.11299012229448838,0.11448610280676995,4849425.582181142
118,0.09319703059624547,0.10452635510262456,0.1527846780013176,8810635.965285195
119,0.15984894330241334,0.09843064311508583,0.11991868830452246,369136.545588734
120,0.18624724713802038,0.023946717700224565,0.023420713180022104,-72774.97145958932
121,0.017541802382153682,0.13157265700810558,0.0837216601580759,1932730.729028326
122,0.15486428322836865,0.13424628266171854,0.06672755166564763,43010.67516484535
123,0.17967330947230717,0.15250642941413048,0.054106988182035146,-135621.25428946453
124,0.0728384035544108,0.06288799604085259,0.03152232972499993,61227.492856777644
125,0.02955667450843833,0.18722549267514882,0.08758080743975066,3600623.2347750133
126,0.07666396455548197,0.1459371417354756,0.11059861305058,9599735.813942095
127,0.18722799736769247,0.15606029878187844,0.09587391282490808,44476.79528596975
128,0.07527189469616524,0.19732630898486442,0.1435520472007287,11415122.708131265
129,0.19023893200076825,0.023695715443408275,0.17010673583815653,57727.63277991017
130,0.1274147767982415,0.024384335667022517,0.11765159999384414,-125638.7045911748
131,0.13721927302108977,0.002460537177720568,0.09086359236834932,-53261.873543375164
132,0.16507990223926425,0.05907180506881798,0.09170961635971023,-122584.97259020274
133,0.08846282541357864,0.06038547828849832,0.18368837910311087,2044653.7446194428
134,0.1562588070863032,0.0221176821992221,0.19940693156751463,171222.85793442532
135,0.17584000486154905,0.0567816875728078,0.16737931593218766,100448.21863431635
136,0.021283906374276573,0.19982094609484774,0.1331369472213074,3207282.5031314823
137,0.1300250031117594,0.01808814539682655,0.17940667977932506,43389.74896547048
138,0.005799900640893885,0.04816561160822941,0.028604375033327002,-895356.1835586058
139,0.15535358813844372,0.03964084544257958,0.18212764542617707,152764.17823888338
140,0.13125380786549803,0.007232542098939244,0.0010859668257400922,-244096.76834078474
141,0.010331583402879785,0.12118503552954554,0.16029636217188306,1236368.451092007
142,0.047710564125477695,0.1698817685846146,0.011446388030652078,-91925.76106998124
143,0.16019277072833527,0.1855590860344561,0.15442167982087612,9297088.264334658
144,0.13962415679572746,0.16759604373107662,0.008030259909413284,-207048.62504234342
145,0.04035642214381108,0.024984735861128617,0.10090619803859731,1154431.492956337
146,0.14903762566576892,0.12600236891527974,0.17022621995238701,4425960.241139415
147,0.03104259848821818,0.14692421838703232,0.03860829817378082,1507012.3712179891
148,0.054151750263560054,0.14198093945626078,0.19604095697973636,8547710.70134193
149,0.12230872119541392,0.01090006299825912,0.12326179398550657,-6795.903122188112
150,0.00847011031603342,0.17682914227336344,0.14191565702012415,1116343.4796069667
151,0.03462556928450065,0.018344201164839615,0.0367066457760638,-2522.5775317441203
152,0.19600543591083852,0.09171212849169796,0.1568161896682816,173297.90575235125
153,0.1272816684215554,0.11448262999172748,0.02902605093300994,-271393.65849001665
154,0.18920489071161903,0.06026852650294359,0.11560344316150845,-41122.17828098392
155,0.13995518891781322,0.12984663104906177,0.1881188819391037,7841469.433941298
156,0.0296877979840116,0.10167054768938842,0.0808068781481532,3400042.6743498854
157,0.09483374589652363,0.023843505239548923,0.02681892197455307,-418754.32022235356
158,0.05561510915625148,0.06094092075216626,0.08558064273627,3664272.3805195815
159,0.12219750940732566,0.1269258234836526,0.08236217931711405,1263992.3718089047
160,0.08175662188573943,0.0435257053393924,0.11766124968180165,1002016.5905366578
161,0.06340818226344758,0.007211966855472741,0.08368000883137208,-165039.3334049901
162,0.09482653501803406,0.0451185736408422,0.11449158662442314,478820.2833494175
163,0.11315438008638419,0.1404004362220743,0.129589696440242,10281457.13742146
164,0.13048661130420633,0.06324283036480863,0.15748644439719078,783338.8878151053
165,0.1098288767199359,0.08628363903597802,0.12520249618821142,2672048.2198576583
166,0.07213146689005086,0.10254784892135166,0.14734113769644405,8871064.687894318
167,0.17728057734474156,0.18421143945903834,0.10072658503661985,402062.14662753686
168,0.10405502294811382,0.15997408215276732,0.06289013834884026,1150587.116638632
169,0.16747647246901373,0.09882832930348469,0.02317134486705368,-175232.968910986
170,0.01441182941458874,0.16839864220789263,0.01111358338137558,-632162.217437907
171,0.05612228722673118,0.06682600810030917,0.03459888903831876,705548.1579447412
172,0.06277867396039785,0.14853851334501714,0.002936568712014154,-361653.4430919896
173,0.1654346849041373,0.17130960471491163,0.07445231463830963,60671.35719371609
174,0.030722579812126963,0.12016808158901618,0.02393451117297887,585363.246737519
175,0.0729838722156505,0.1916858361801945,0.19909289451672743,11898571.20240568
176,0.15442097827091714,0.06219230198415324,0.1375330098332185,57697.31818288098
177,0.14108127309680255,0.07756833903272996,0.1281777269172319,551095.5920756713
178,0.002145528995135249,0.0418115317204483,0.10501766059345224,-761939.4924472129
179,0.03275026085165918,0.033181373575306726,0.1672608581100476,1592729.9766375488
180,0.1978266005367211,0.11119388560568969,0.1678139461763427,351616.8179129999
181,0.19806433286525452,0.02831917771375494,0.08964912265087022,-39232.67538260561
182,0.07851454316838398,0.016009856729237004,0.1510660345589489,184773.1776269667
183,0.08675580546451861,0.09386538683808027,0.03013459476264804,23069.542394126784
184,0.03618533044617363,0.18142072443124302,0.008929817794855776,-292989.25665953057
185,0.04657045698874125,0.058411866062905674,0.09803950848031728,3522016.1460456904
186,0.1172890346029592,0.09865799517013332,0.016823066911376406,-329372.9200609049
187,0.04873349081114271,0.16871767695250825,0.1275177400956918,7426763.9797482835
188,0.12982981002685487,0.134040651070271,0.15258060380790583,9566573.85109826
189,0.011621696344289468,0.07332167698652248,0.10790548705233574,1096208.0949724119
190,0.0676912966594652,0.16889577465743733,0.09651450171745879,8335677.40099732
191,0.15372551789187583,0.17040310337623382,0.10095829658069962,1215374.6712722133
192,0.18191044877426998,0.11742478810739612,0.17005485976674437,901006.2224691864
193,0.06811815911830486,0.09976339170629706,0.10628220820091555,7644355.795507396
194,0.02099594317921412,0.07971050134030813,0.18346753451033523,2536050.0962584
195,0.1261664480729485,0.0355013164873935,0.067771127121921,-43751.86420161846
196,0.03832060193253997,0.004964626359714508,0.18549209170080536,-148582.63266390134
197,0.0896414656513743,0.061507014484157234,0.11969543831154733,1761721.1258735252
198,0.0014628912586031274,0.05560442132016277,0.14060669313977853,-659202.1754282147
199,0.1267539546138526,0.19636118950850712,0.12407154193160881,8750213.784146933
200,0.09550117472554656,0.15228651263680154,0.1806655743928106,14244847.419473134
201,0.14413918934367032,0.19264224470987593,0.15640103414763545,14070945.26155531
202,0.17336028765238531,0.022820814236727438,0.14648270059875754,-108595.00640194396
203,0.08801773990547374,0.11062076048225505,0.13082048189647136,9677744.804684214
204,0.1939630233411139,0.19691561628632492,0.057645649097581055,-6649.999121875052
205,0.14675069948758324,0.14999670758705372,0.06929857226260976,286253.3825352437
206,0.024773954972844205,0.008189392057143951,0.15546862550583573,-46469.09499758433
207,0.09793994836338119,0.19710803389898524,0.09299469123873061,6024145.107027964
208,0.19558339581476805,0.08231520043881198,0.15873643011199454,58283.80754775241
209,0.016963854462366413,0.11109234202755279,0.16041195739714487,2397084.773598769
210,0.18494033344397776,0.16451661812348634,0.0073941454402348455,-153260.92744468283
211,0.07454046826134685,0.009739694462770255,0.0218564582229116,-290997.99044656265
212,0.13506112573349682,0.14265163926233965,0.15474413655032526,10041816.633485008
213,0.1730913096111326,0.14788629369530198,0.16017431842132643,3382156.3557523075
214,0.009792741964655849,0.04690703008825972,0.12437955467504916,355947.6894333933
215,0.17162506092496466,0.0009000249879318246,0.10292586842326996,-59302.6499444849
216,0.13545747987287945,0.005921457825722643,0.08027111151067759,-166391.2695116186
217,0.17912697627673937,0.13432256177117174,0.04753167267211947,-166138.2381856776
